obstructor obstructer
ochre ocher
octavian augustus
octette octet
odoriferous odorous
odour odor
odourless odorless
oecumenical ecumenical
oestrogen estrogen
offense offence
offhanded offhand
oleomargarine oleo
omelette omelet
onomatopoeical onomatopoeic
onomatopoetic onomatopoeic
opinionative opinionated
optimistical optimistic
organdie organdy
organization organisation
organize organise
orientate orient
orthodontics orthodontia
orthographical orthographic
orthopaedic orthopedic
orthopaedics orthopedics
outermost outmost
outmanoeuvre outmaneuver
ouzel ousel
paeony peony
palanquin palankeen
palliasse paillasse
panellist panelist
parlour parlor
pastille pastil
pedagogue pedagog
peddler pedlar
peewit pewit
pekingese pekinese
pemmican pemican
pharisaical pharisaic
philtre philter
phlegmatical phlegmatic
phoenix phenix
pianoforte piano
pickaninny piccaninny
pilaff pilaf
piscatorial piscatory
plainchant plainsong
plough plow
ploughboy plowboy
ploughman plowman
ploughshare plowshare
pokey poky
poleaxe poleax
politician pol
porno porn
portuguese portugese
practise practice
predacious predaceous
pretense pretence
preterite preterit
primaeval primeval
problematical problematic
processor processer
programme program
programmer programer
prologue prolog
propellent propellant
prophetical prophetic
proserpina persephone
puritanical puritanic
pyjamas pajamas
pyorrhoea pyorrhea
pyrotechnical pyrotechnic
quartette quartet
quickie quicky
quintette quintet
quintuplet quin
quintuplet quint
raccoon racoon
racialism racism
racialist racist
racquet racket
radiancy radiance
rajah raja
ranchman rancher
rancour rancor
ranee rani
rateable ratable
rattan ratan
raze rase
reafforest reforest
realize realise
recalcitrancy recalcitrance
recognize recognise
reconciliation reconcilement
reconnoitre reconnoiter
rectilinear rectilineal
redemptory redemptive
redundancy redundance
referee ref
reflection reflexion
reinforce reenforce
resiliency resilience
resplendency resplendence
retaliatory retaliative
retributory retributive
reveller reveler
reverential reverent
reverie revery
rhapsodical rhapsodic
rhinoceros rhino
rhombus rhomb
rhumba rumba
rigour rigor
romulus remus
ropey ropy
roster rota
rouble ruble
rudolph rudolf
rugger rugby
rumour rumor
sabre saber
safecracker safebreaker
saleable salable
salesroom saleroom
saleswoman saleslady
saliency salience
saltpetre saltpeter
sanatory sanative
sandpit sandbox
sarabande saraband
saree sari
satirical satiric
saucy sassy
savannah savanna
saviour savior
savour savor
savoury savory
saxophone sax
scallywag scalawag
sceptre scepter
schematize schematise
schizoid schizo
schizophrenic schizoid
schmaltz schmalz
schoolfellow schoolmate
scollop scallop
scotchman scotsman
scottish scotch
scrotum scrotal
scrummage scrum
sculpture sculp
seismometer seismograph
seizin seisin
semeiology semiotics
semiotics semiology
semiprofessional semipro
sempstress seamstress
sensorial sensory
septette septet
septicaemia sepsis
septicemia sepsis
sepulchre sepulcher
serfhood serfdom
serhood serfdom
seriocomical seriocomic
serjeant sergeant
sextette sextet
shakespearian shakespearean
shantey chantey
sheikh sheik
sherd shard
shoeblack bootblack
shopsoiled shopworn
shortie shorty
sidewise sideways
simoon simoom
sister sis
sizeable sizable
skeptic sceptic
skeptical sceptical
skepticism scepticism
skillful skilful
slavonic slavic
slovenian slovene
slumberous slumbrous
smoothie smoothy
smoulder smolder
snigger snicker
sombre somber
sophistical sophistic
southeastwardly southeasterly
southwestwards southwestward
spasmodical spasmodic
speciality specialty
spectre specter
splotch splodge
spoondrift spindrift
springbuck springbok
stablelad stableboy
staircase stairway
steinbok steenbok
stogie stogy
stokehole stokehold
storey story
storeyed storied
strategical strategic
strategics strategy
stymie stimy
stymie stymy
subheading subhead
submergence submersion
submerse submerge
succour succor
sulphureous sulfureous
sulphuret sulfuret
sunwards sunward
supposititious suppositious
syllabub sillabub
sylvan silvan
synodical synodic
syracuse siracusa
theatre theater
thorough thoro
though tho
through thru
tonsillitis tonsilitis
topee topi
topographical topographic
torpidity torpor
totalizator totalizer
tournament tourney
towards toward
toxaemia toxemia
tragical tragic
tragicomical tragicomic
traipse trapse
tramcar tram
tranquillity tranquility
tranquillize tranquilize
tranquillizer tranquilizer
transcendency transcendence
transiency transience
translucency translucence
transparency transparence
transship tranship
transsonic transonic
traveller traveler
travelogue travelog
treasonable treasonous
trigonometrical trigonometric
truculency truculence
tsar czar
tubulate tubular
tumour tumor
tunny tuna
turkistan turkestan
tussore tussah
tutelary tutelar
twirp twerp
twopence tuppence
twopenny tuppenny
tympani timpani
typographical typographic
tyrannical tyrannic
tyrannical tyrannous
tyre tire
tyrolean tirolean
tyrolese tirolese
tzar czar
tzarina czarina
tzetze tsetse
ukulele uke
umpire ump
unalienable inalienable
unbiassed unbiased
underbrush underbush
undercarriage undercart
undergraduate undergrad
underquote underbid
underscore underline
undershirt undervest
uneasiness unease
uneconomical uneconomic
unequalled unequaled
unfavourable unfavorable
unlikeliness unlikelihood
unload unlade
unloosen unloose
unrivalled unrivaled
unsavoury unsavory
unskillful unskilful
untrammelled untrammeled
upon on
valour valor
vapour vapor
vigour vigor
vizard visor
waggon wagon
waggoner wagoner
waggonette wagonette
whatsoever whatever
wheresoever wherever
whichsoever whichever
whilst while
whimsey whimsy
whirr whir
whiskey whisky
whizz whiz
willful wilful
windshield windscreen
wingspread wingspan
wintery wintry
wisteria wistaria
withy withe
womenfolks womenfolk
womenkind womankind
woollen woolen
woollens woolens
woolly wooly
worshipper worshiper
yeah yes
yellowish yellowy
yemenite yemeni
yobbo yob
yoghourt yogurt
yoghurt yogurt
yonder yond
yugoslav jugoslav
yugoslavia jugoslavia
zarathustra zoroaster
zee zed
zombie zombi
